Date,Source,news_data
14-02-2015,Reuters,"HDFC Bank reported quarterly net profit growth of around 20%, supported by strong retail and corporate loan demand, highlighting resilience compared to state-run banks facing rising non-performing asset pressures. (Reuters)"
21-04-2016,Business Standard,"HDFC Bank announced strong quarterly earnings with stable margins and low NPAs, reinforcing its conservative lending model while the broader Indian banking sector struggled with deteriorating asset quality."
08-11-2016,Reuters,"Following demonetisation announced by the Indian government, HDFC Bank witnessed a surge in deposits and digital transactions as customers moved towards formal banking and electronic payment systems. (Wikipedia)"
13-01-2017,Mint,"HDFC Bank reported steady growth driven by expansion in rural and semi-urban markets, focusing on retail lending and maintaining strong asset quality compared to peers facing rising stressed assets."
17-07-2017,Economic Times,"HDFC Bank delivered consistent quarterly performance with strong retail loan growth and stable margins, continuing to outperform peers in asset quality during a period of stress in the banking sector."
20-04-2018,Reuters,"HDFC Bank posted strong earnings growth with stable asset quality and improving margins, driven by expansion in retail lending and disciplined risk management across its diversified loan portfolio."
01-08-2018,Business Standard,"HDFC Bank became India’s most valuable lender by market capitalization, reflecting strong investor confidence in its consistent profitability, governance standards, and long-term growth strategy in private banking."
14-01-2019,Economic Times,"HDFC Bank reported strong quarterly earnings supported by robust retail loan growth and stable asset quality, maintaining leadership position among private sector banks amid broader economic slowdown concerns."
20-04-2019,Reuters,"HDFC Bank maintained steady profit growth and stable margins despite macroeconomic challenges, supported by strong retail lending and disciplined underwriting practices across its credit portfolio."
21-10-2019,Mint,"HDFC Bank continued expanding its digital banking services, focusing on improving customer experience and increasing transaction volumes through technology adoption and retail-focused growth initiatives."
27-03-2020,Reuters,"HDFC Bank announced support measures during COVID-19 disruptions, including loan moratoriums and liquidity assistance, aiming to protect customers and maintain operational stability during economic uncertainty."
18-07-2020,Economic Times,"Despite pandemic-related disruptions, HDFC Bank reported resilient earnings and stable asset quality, demonstrating strong risk management and diversified lending across retail and corporate segments."
02-12-2020,Reuters,"RBI barred HDFC Bank from issuing new credit cards after repeated digital outages, highlighting operational risks and forcing the bank to strengthen its technology infrastructure and compliance systems. (Reuters)"
15-01-2021,Business Standard,"HDFC Bank initiated major investments in digital infrastructure and compliance improvements following RBI restrictions, aiming to restore operational stability and support future growth in digital banking services."
23-02-2021,Reuters,"HDFC Bank invested in a payments entity promoted by Tata Group, marking strategic expansion into India’s digital payments ecosystem and strengthening its presence in evolving fintech infrastructure. (Wikipedia)"
27-05-2021,Reuters,"RBI imposed a monetary penalty on HDFC Bank for irregularities in its auto loan portfolio, highlighting compliance gaps and reinforcing regulatory scrutiny despite the bank’s otherwise strong financial performance. (Wikipedia)"
04-04-2022,Reuters,"HDFC Ltd announced a merger with HDFC Bank in India’s largest financial sector deal, aiming to combine housing finance and banking operations for scale, efficiency, and long-term growth. (Wikipedia)"
01-07-2023,Reuters,"HDFC Bank completed its merger with HDFC Ltd, creating one of the world’s largest banks with expanded balance sheet, increased customer base, and stronger retail and housing loan integration. (Wikipedia)"
13-03-2023,Business Standard,"A data breach at HDB Financial Services, a subsidiary of HDFC Bank, exposed sensitive information of millions of customers, raising concerns around cybersecurity, data protection, and operational risk management. (Wikipedia)"
13-11-2023,Reuters,"RBI retained HDFC Bank in its list of domestic systemically important banks, requiring higher capital buffers and reinforcing its “too big to fail” status following the merger expansion. (Reuters)"
10-04-2024,Mint,"HDFC Bank expanded its physical presence by opening new branches in underserved regions, strengthening distribution network and improving access to banking services across rural and semi-urban India. (Wikipedia)"
30-10-2024,Reuters,"HDB Financial Services, a subsidiary of HDFC Bank, filed for a $1.5 billion IPO to meet regulatory requirements, supporting capital expansion and improving transparency in its non-banking operations. (Reuters)"
15-09-2024,Reuters,"RBI imposed a penalty on HDFC Bank for non-compliance with deposit rate regulations and customer service standards, highlighting ongoing regulatory concerns despite its strong market leadership position. (Reuters)"
19-04-2025,Republic Business,"HDFC Bank reported strong FY2025 results with rising net profit and net interest income, along with announcing a dividend, reflecting continued profitability despite post-merger integration challenges. (Republic World)"
19-07-2025,Mint,"HDFC Bank scheduled board meeting to review quarterly results and consider dividend and bonus issuance, signaling continued focus on shareholder returns and capital allocation strategy. (mint)"
15-09-2025,Reuters,"Dubai regulator restricted a branch of HDFC Bank from onboarding new clients due to compliance deficiencies, raising concerns about international regulatory adherence and operational governance. (Reuters)"
01-11-2025,Reuters,"RBI imposed penalties on HDFC Bank for using incorrect loan pricing benchmarks and weak KYC outsourcing controls, highlighting lapses in compliance and need for stronger internal processes. (Reuters)"
16-12-2025,Reuters,"RBI approved HDFC Bank group entities to acquire up to 9.5% stake in IndusInd Bank, indicating strategic positioning and expansion within India’s financial services sector. (Reuters)"
05-12-2025,Reuters,"RBI introduced guidelines requiring banks to ringfence core and non-core operations, impacting large lenders like HDFC Bank and shaping future structure of financial conglomerates in India."
31-12-2025,Economic Times,"Post-merger integration challenges continued to affect HDFC Bank’s credit growth and margins, as the bank worked to align liquidity, systems, and lending strategies within the expanded balance sheet structure."
27-12-2015,Economic Times,"Reliance Jio launched beta 4G services for employees and partners, marking the beginning of its telecom entry and laying foundation for a nationwide digital transformation strategy. (Wikipedia)"
05-09-2016,Reuters,"Reliance Industries commercially launched Jio 4G services with free voice and data offers, disrupting India’s telecom sector and triggering intense competition through ultra-low pricing strategies. (Wikipedia)"
01-09-2016,Economic Times,"Reliance Industries’ AGM highlighted aggressive telecom strategy and digital focus, with market reacting to Jio announcements as company positioned itself for long-term consumer technology leadership. (The Economic Times)"
22-02-2017,Mint,"Reliance Jio crossed 100 million subscribers within months of launch, becoming fastest-growing telecom network globally and strengthening Reliance Industries’ position in India’s digital ecosystem. (Wikipedia)"
21-07-2017,Business Standard,"Reliance Industries reported strong earnings growth supported by refining and petrochemical segments, while telecom business scaled rapidly with increasing subscriber additions and network expansion."
05-07-2018,Economic Times,"Reliance announced Jio GigaFiber broadband services, expanding into fixed-line internet and strengthening its integrated digital ecosystem alongside telecom, content, and enterprise connectivity offerings. (Wikipedia)"
20-07-2018,Reuters,"Reliance Industries posted strong quarterly earnings driven by refining margins and petrochemical performance, while telecom arm Jio continued rapid subscriber growth and revenue expansion."
12-08-2019,Business Standard,"Reliance Industries’ AGM announced major digital and retail expansion plans, including partnerships and platform strategy, signaling transition from energy-focused business to consumer and technology-driven conglomerate. (Reliance Industries Limited)"
12-08-2019,Reuters,"Reliance Industries announced acquisition of Fynd to strengthen e-commerce capabilities, expanding its retail digital strategy and integrating online platforms with physical retail network across India. (Wikipedia)"
30-08-2019,Mint,"Reliance Industries continued to scale retail and telecom businesses, with strong growth in consumer segments contributing increasingly to overall revenue mix alongside traditional energy operations."
10-09-2020,Reuters,"Reliance Industries became first Indian company to cross $200 billion market capitalization, driven by strong investor confidence in digital, telecom, and retail transformation strategy. (peeaar.in)"
18-07-2020,Economic Times,"Reliance Industries reported resilient earnings despite COVID-19 disruptions, supported by telecom growth and stable refining operations, highlighting diversification benefits across business segments."
22-04-2020,Reuters,"Reliance Industries announced strategic stake sale in Jio Platforms to global investors, raising significant capital and validating valuation of its digital business ecosystem."
15-07-2020,Reuters,"Google announced investment in Jio Platforms, strengthening strategic partnership and supporting development of affordable smartphones and digital ecosystem expansion in India."
30-09-2020,Business Standard,"Reliance Retail attracted global investments to expand its footprint, signaling strong investor interest in India’s consumer market and supporting company’s transition towards digital commerce leadership."
24-06-2021,Economic Times,"Reliance Industries highlighted its strategy to become a global leader in digital services and new energy at its AGM, outlining investments in renewable energy and technology-driven growth initiatives. (Reliance Industries Limited)"
10-10-2021,Business Standard,"Reliance Retail partnered with global convenience chain 7-Eleven to expand retail footprint in India, marking entry into organized convenience store segment and strengthening consumer-facing business strategy. (Wikipedia)"
15-01-2022,Mint,"Reliance Retail invested approximately $200 million in Dunzo, acquiring a strategic stake to strengthen its last-mile delivery and hyperlocal commerce capabilities in India’s growing digital retail ecosystem. (Wikipedia)"
29-08-2022,Economic Times,"At its AGM, Reliance Industries outlined plans for expansion into green energy, including solar manufacturing and hydrogen ecosystem, positioning itself as a major player in India’s clean energy transition. (Reliance Industries Limited)"
28-08-2023,Reuters,"Reliance Industries emphasized growth across telecom, retail, and new energy segments at its AGM, focusing on scaling digital platforms and strengthening integrated consumer and technology ecosystem. (Reliance Industries Limited)"
28-08-2023,Business Standard,"Reliance announced demerger of its financial services business into Jio Financial Services, unlocking value and creating a separate listed entity focused on lending, insurance, and digital financial solutions."
15-03-2023,Mint,"Reliance Consumer Products relaunched Campa Cola brand to expand FMCG presence, aiming to compete with global beverage companies and strengthen its position in India’s fast-growing consumer goods market. (Wikipedia)"
06-02-2024,Reuters,"Reliance Industries and BP showcased energy transition initiatives at India Energy Week, focusing on fuel retail expansion and low-carbon solutions as part of broader shift towards sustainable energy business. (Reliance Industries Limited)"
10-05-2024,Business Standard,"Reliance expanded digital infrastructure and telecom ecosystem through continued investments in 5G rollout and enterprise services, strengthening its leadership in India’s rapidly evolving digital economy."
29-08-2024,Economic Times,"At its AGM, Reliance Industries outlined strategy to become a deep-tech and advanced manufacturing company, focusing on AI, energy transition, and next-generation digital infrastructure investments. (Reliance Industries Limited)"
03-06-2025,Reuters,"Reliance Industries participated in India’s defence manufacturing initiative through Jai Ammunition Limited, supporting indigenous production of artillery systems and reducing dependence on imports. (Wikipedia)"
22-05-2025,Business Standard,"Reliance Defence entered partnership with Germany’s Rheinmetall to manufacture ammunition in India, strengthening its presence in defence sector and expanding into strategic industrial manufacturing capabilities. (Wikipedia)"
26-06-2025,Economic Times,"Reliance Defence secured export orders under global partnerships, marking expansion into international defence markets and reinforcing diversification beyond energy, telecom, and retail businesses. (Wikipedia)"
29-08-2025,Reuters,"At its AGM, Reliance announced plans to expand into artificial intelligence and digital products, including Jio platforms, while indicating potential IPO of telecom business to unlock shareholder value. (The Economic Times)"
